EGID;IDPADR;ADRESSE;COMMUNE;DESTINATION;SOURCE_CHALEUR;NBRE_PRENEUR;DIFC;SOUMIS_AU_CALCUL;PARTICIP_EAU_CHAUDE;CALCUL_SAISON;AVANT_93;ANNEE;SRE;INDICE;CONSOM_TOTALE;CONSO_CORRIGEE;EMISSION_CO2;AGENT_1;QUANTITE_AGENT_1;AGENT_2;QUANTITE_AGENT_2;AGENT_3;QUANTITE_AGENT_3;DATE_SAISIE;SHAPE.AREA;SHAPE.LEN
1021821.0;930225023999.0;Rue des Racettes 33;Onex;Hab plusieurs logements;Rue des Racettes 33;26;Non;Oui;0.3;Oui;Oui;2010;2135.0;481;1028239;1026935.0;35988;CADIOM. en [kWh]. à 3.6 [MJ / kWh];285622;;;;;20100903;263.6773;65.5188214662473
2035213.0;930225042972.0;Route de Céligny 39;Céligny;Poste;Route de Céligny 41;0;Non;Non;0.05;Oui;Oui;2010;352.0;444;156348;156288.0;11413;Mazout. en [litres]. à 36 [MJ / litre];4343;;;;;20110927;178.16490000000002;62.383718812649896
1019054.0;930225011030.0;Chemin du Fief-de-Chapitre 9;Lancy;Hab plusieurs logements;Chemin du Fief-de-Chapitre 13;53;Non;Oui;0.3;Non;Oui;2010;6087.0;476;3007310;2897412.0;219533;Mazout ultra-léger. en [litres]. à 34.7 [MJ / litre];86666;;;;;20110201;351.3716;74.9757385295318
1013963.0;930225019554.0;Rue de Montchoisy 29;Genève-Eaux-Vives;Habitation - activités;Rue de Montchoisy 27;15;Non;Oui;0.3;Oui;Oui;2010;694.0;433;300672;300502.0;21949;Mazout. en [litres]. à 36 [MJ / litre];8352;;;;;20101110;103.2951;40.7529421353032
1012854.0;930225023977.0;Rue du Quartier-Neuf 12;Genève-Plainpalais;Hab plusieurs logements;Rue du Quartier-Neuf 12;10;Non;Oui;0.3;Oui;Oui;2010;783.0;541;424044;423603.0;30955;Mazout. en [litres]. à 36 [MJ / litre];11779;;;;;20100906;158.48420000000002;50.4114725271756
1000583.0;930225012503.0;Avenue de Gennecy 50B;Avully;Hab. - rez activités;Avenue de Gennecy 50B;13;Non;Oui;0.25;Oui;Oui;2010;838.0;634;531396;531292.0;38791;Mazout. en [litres]. à 36 [MJ / litre];14761;;;;;20110819;233.76965;65.77272474073649
1002175.0;930225034729.0;Bernex-en-Combes 12;Bernex;Hab plusieurs logements;Bernex-en-Combes 20;16;Non;Oui;0.3;Oui;Oui;2010;1325.0;487;646005;645275.0;22610;CADIOM. en [kWh]. à 3.6 [MJ / kWh];179446;;;;;20100914;332.51750000000004;81.4638275306976
1009316.0;930225015218.0;Chemin des Hutins 53;Confignon;Hab plusieurs logements;Chemin des Hutins 52;3;Non;;0.3;Oui;Oui;2010;342.0;543;185976;185706.0;13576;Mazout. en [litres]. à 36 [MJ / litre];5166;;;;;20110201;119.33080000000001;46.4016838552854
1021823.0;930225024001.0;Rue des Racettes 37;Onex;Hab plusieurs logements;Rue des Racettes 33;19;Non;Oui;0.3;Oui;Oui;2010;1809.0;481;871232;870129.0;30493;CADIOM. en [kWh]. à 3.6 [MJ / kWh];242009;;;;;20100903;218.33455;59.15750456334909
1003190.0;930225010443.0;Rue de la Faïencerie 2;Carouge;Hab. - rez activités;Rue de la Faïencerie 6;12;Non;Oui;0.3;Oui;Oui;2010;1684.0;395;665547;665180.0;36605;Gaz. en [kWh]. à 3.3 [MJpci / kWhpcs];201681;;;;;20101108;295.61605;72.0807725265714
